sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,-30.0,-958.0,252.0,-22.0,83.0,-32.0
1,-29.0,-960.0,251.0,-25.0,79.0,-33.0
2,-27.0,-965.0,248.0,-27.0,77.0,-34.0
3,-26.0,-973.0,245.0,-25.0,75.0,-35.0
4,-29.0,-970.0,244.0,-18.0,71.0,-36.0
5,-26.0,-967.0,247.0,-12.0,63.0,-39.0
6,-21.0,-977.0,243.0,-10.0,60.0,-42.0
7,-23.0,-976.0,243.0,-1.0,60.0,-43.0
8,-7.0,-965.0,248.0,-20.0,57.0,-45.0
9,-23.0,-963.0,246.0,-22.0,77.0,-23.0
10,-26.0,-967.0,242.0,-22.0,76.0,-28.0
11,-25.0,-967.0,244.0,-18.0,69.0,-33.0
12,-20.0,-969.0,245.0,-18.0,62.0,-38.0
13,-15.0,-972.0,242.0,-17.0,60.0,-40.0
14,-13.0,-973.0,242.0,-14.0,60.0,-40.0
15,-11.0,-970.0,241.0,-10.0,59.0,-38.0
16,-11.0,-972.0,242.0,-5.0,60.0,-35.0
17,-9.0,-969.0,242.0,-1.0,62.0,-32.0
18,-13.0,-967.0,244.0,2.0,64.0,-28.0
19,-10.0,-965.0,245.0,1.0,64.0,-26.0
20,-14.0,-965.0,245.0,0.0,66.0,-23.0
21,-13.0,-962.0,245.0,-1.0,65.0,-22.0
22,-15.0,-964.0,246.0,-3.0,65.0,-22.0
23,-13.0,-967.0,245.0,-5.0,64.0,-22.0
24,-22.0,-963.0,242.0,-6.0,66.0,-29.0
25,-32.0,-966.0,244.0,-3.0,-16.0,-102.0
26,-25.0,-974.0,244.0,-5.0,-38.0,-110.0
27,0.0,-973.0,244.0,-9.0,-58.0,-118.0
28,11.0,-970.0,246.0,-15.0,-59.0,-112.0
29,27.0,-972.0,244.0,-23.0,-53.0,-100.0
30,36.0,-968.0,242.0,-24.0,-41.0,-84.0
31,34.0,-973.0,238.0,-26.0,-21.0,-67.0
32,25.0,-976.0,241.0,-27.0,-1.0,-55.0
33,27.0,-977.0,238.0,-29.0,10.0,-44.0
34,31.0,-977.0,238.0,-31.0,24.0,-31.0
35,20.0,-969.0,244.0,-32.0,43.0,-17.0
36,5.0,-1009.0,233.0,6.0,109.0,105.0
37,-59.0,-1308.0,274.0,605.0,43.0,243.0
38,-44.0,-1373.0,275.0,748.0,37.0,207.0
39,-12.0,-1404.0,296.0,933.0,24.0,156.0
40,77.0,-1501.0,281.0,1062.0,25.0,85.0
41,151.0,-1522.0,278.0,1219.0,87.0,44.0
42,196.0,-1493.0,260.0,1394.0,163.0,52.0
43,259.0,-1428.0,223.0,1543.0,236.0,59.0
44,264.0,-1270.0,191.0,1660.0,323.0,49.0
45,255.0,-1187.0,130.0,1676.0,356.0,22.0
46,242.0,-1022.0,145.0,1695.0,351.0,-21.0
47,-32.0,-1022.0,-217.0,-2184.0,-170.0,-440.0
48,-66.0,-1439.0,228.0,-2337.0,-726.0,-335.0
49,229.0,-1104.0,531.0,-1466.0,850.0,-389.0
50,7.0,-1107.0,579.0,-1364.0,1138.0,-427.0
51,-165.0,-1112.0,616.0,-1208.0,1276.0,-386.0
52,-259.0,-1062.0,592.0,-986.0,1289.0,-320.0
53,-316.0,-1012.0,519.0,-773.0,1237.0,-253.0
54,-350.0,-975.0,420.0,-594.0,1116.0,-186.0
55,-289.0,-920.0,298.0,-436.0,898.0,-109.0
56,-247.0,-847.0,203.0,-333.0,687.0,-62.0
57,-212.0,-855.0,125.0,-320.0,474.0,-54.0
58,-190.0,-906.0,95.0,-313.0,267.0,-53.0
59,-180.0,-948.0,100.0,-250.0,82.0,-35.0
60,-42.0,-971.0,47.0,725.0,-586.0,31.0
61,-3.0,-881.0,199.0,838.0,5.0,58.0
62,15.0,-939.0,161.0,755.0,20.0,22.0
63,75.0,-984.0,102.0,711.0,14.0,0.0
64,89.0,-1007.0,45.0,712.0,47.0,25.0
65,71.0,-1002.0,61.0,738.0,71.0,67.0
66,20.0,-968.0,147.0,764.0,48.0,117.0
67,22.0,-968.0,155.0,735.0,-15.0,136.0
68,26.0,-980.0,149.0,692.0,-38.0,130.0
69,-37.0,-964.0,198.0,660.0,-34.0,117.0
70,-11.0,-962.0,213.0,612.0,-94.0,71.0
71,-2.0,-1005.0,211.0,187.0,55.0,-217.0
72,55.0,-972.0,229.0,25.0,74.0,-129.0
73,75.0,-947.0,237.0,33.0,77.0,-140.0
74,82.0,-936.0,247.0,30.0,96.0,-139.0
75,70.0,-932.0,259.0,23.0,124.0,-131.0
76,115.0,-947.0,238.0,8.0,133.0,-123.0
77,129.0,-956.0,230.0,17.0,157.0,-90.0
78,110.0,-950.0,227.0,31.0,188.0,-49.0
79,88.0,-964.0,235.0,39.0,195.0,-12.0
80,77.0,-956.0,245.0,46.0,189.0,15.0
81,80.0,-972.0,246.0,39.0,183.0,37.0
82,54.0,-973.0,252.0,38.0,201.0,51.0
83,9.0,-955.0,279.0,43.0,211.0,49.0
84,41.0,-970.0,254.0,30.0,191.0,33.0
85,55.0,-992.0,249.0,23.0,188.0,24.0
86,66.0,-1017.0,244.0,30.0,194.0,28.0
87,139.0,-1034.0,223.0,99.0,217.0,86.0
