sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,51.0,-973.0,233.0,43.0,25.0,-53.0
1,55.0,-969.0,233.0,40.0,31.0,-46.0
2,50.0,-952.0,246.0,40.0,41.0,-38.0
3,47.0,-952.0,245.0,25.0,56.0,-34.0
4,46.0,-952.0,243.0,17.0,68.0,-35.0
5,38.0,-957.0,239.0,12.0,82.0,-39.0
6,35.0,-963.0,237.0,9.0,91.0,-44.0
7,43.0,-969.0,235.0,8.0,91.0,-49.0
8,49.0,-976.0,233.0,8.0,92.0,-43.0
9,43.0,-974.0,239.0,7.0,91.0,31.0
10,45.0,-979.0,236.0,7.0,96.0,35.0
11,40.0,-969.0,238.0,15.0,103.0,42.0
12,36.0,-966.0,240.0,16.0,110.0,47.0
13,38.0,-973.0,236.0,14.0,115.0,47.0
14,39.0,-970.0,237.0,17.0,121.0,47.0
15,36.0,-967.0,240.0,17.0,128.0,47.0
16,35.0,-966.0,241.0,12.0,135.0,43.0
17,37.0,-964.0,243.0,8.0,143.0,41.0
18,42.0,-966.0,240.0,2.0,151.0,39.0
19,35.0,-966.0,236.0,-1.0,169.0,38.0
20,14.0,-954.0,245.0,1.0,183.0,37.0
21,20.0,-965.0,244.0,-3.0,94.0,3.0
22,22.0,-984.0,234.0,-8.0,99.0,6.0
23,4.0,-982.0,235.0,0.0,107.0,7.0
24,5.0,-979.0,238.0,6.0,99.0,3.0
25,9.0,-984.0,236.0,5.0,93.0,-2.0
26,23.0,-979.0,236.0,10.0,89.0,-2.0
27,23.0,-967.0,240.0,13.0,92.0,2.0
28,17.0,-959.0,242.0,11.0,98.0,5.0
29,9.0,-955.0,242.0,9.0,104.0,3.0
30,-10.0,-953.0,245.0,5.0,109.0,-2.0
31,-5.0,-951.0,246.0,2.0,97.0,-9.0
32,-1.0,-956.0,247.0,-5.0,87.0,-12.0
33,6.0,-967.0,239.0,-19.0,73.0,-12.0
34,7.0,-964.0,240.0,-17.0,70.0,-15.0
35,10.0,-969.0,239.0,-17.0,69.0,-15.0
36,7.0,-980.0,233.0,-14.0,72.0,-15.0
37,-1.0,-970.0,240.0,-5.0,73.0,-15.0
38,3.0,-971.0,240.0,-5.0,66.0,-20.0
39,7.0,-970.0,239.0,-4.0,64.0,-25.0
40,15.0,-973.0,236.0,-5.0,61.0,-24.0
41,17.0,-972.0,239.0,-1.0,62.0,-20.0
42,11.0,-966.0,241.0,-1.0,64.0,-17.0
43,12.0,-965.0,240.0,-5.0,66.0,-15.0
44,5.0,-960.0,235.0,-27.0,72.0,-23.0
45,0.0,-949.0,239.0,-26.0,71.0,-22.0
46,0.0,-941.0,242.0,-30.0,68.0,-23.0
47,-5.0,-939.0,246.0,-39.0,66.0,-27.0
48,-6.0,-943.0,246.0,-52.0,59.0,-33.0
49,-5.0,-956.0,244.0,-65.0,53.0,-40.0
50,3.0,-969.0,241.0,-76.0,46.0,-49.0
51,6.0,-977.0,236.0,-83.0,44.0,-54.0
