sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,14.0,-952.0,241.0,5.0,80.0,-64.0
1,17.0,-956.0,242.0,3.0,66.0,-84.0
2,39.0,-967.0,237.0,0.0,49.0,-102.0
3,54.0,-974.0,237.0,-2.0,43.0,-112.0
4,66.0,-976.0,236.0,-4.0,42.0,-109.0
5,73.0,-974.0,231.0,-4.0,47.0,-98.0
6,42.0,-960.0,245.0,-7.0,73.0,-36.0
7,56.0,-967.0,241.0,-13.0,66.0,-47.0
8,74.0,-976.0,234.0,-14.0,61.0,-45.0
9,81.0,-973.0,233.0,-11.0,63.0,-32.0
10,76.0,-975.0,234.0,-7.0,69.0,-14.0
11,65.0,-972.0,235.0,0.0,74.0,-1.0
12,59.0,-965.0,237.0,6.0,77.0,4.0
13,40.0,-950.0,246.0,11.0,82.0,5.0
14,30.0,-959.0,242.0,4.0,83.0,-10.0
15,38.0,-960.0,239.0,2.0,77.0,-33.0
16,38.0,-958.0,244.0,4.0,72.0,-45.0
17,71.0,-968.0,246.0,-15.0,-44.0,-93.0
18,78.0,-1042.0,237.0,28.0,113.0,12.0
19,70.0,-1052.0,223.0,32.0,133.0,0.0
20,62.0,-1073.0,223.0,64.0,129.0,-3.0
21,76.0,-1143.0,234.0,102.0,96.0,6.0
22,118.0,-1245.0,217.0,146.0,56.0,34.0
23,118.0,-1290.0,244.0,247.0,38.0,109.0
24,64.0,-1344.0,275.0,376.0,40.0,179.0
25,42.0,-1395.0,310.0,576.0,49.0,181.0
26,-37.0,-1341.0,314.0,851.0,90.0,153.0
27,-25.0,-1304.0,255.0,1035.0,63.0,102.0
28,-81.0,-1399.0,234.0,1098.0,45.0,-18.0
29,530.0,-335.0,-458.0,1258.0,-102.0,-285.0
30,349.0,-122.0,-483.0,972.0,526.0,-219.0
31,-5.0,-331.0,-512.0,370.0,1044.0,-116.0
32,-270.0,-215.0,-545.0,172.0,1261.0,44.0
33,-602.0,-192.0,-552.0,-724.0,904.0,492.0
34,-593.0,-247.0,-492.0,-1040.0,614.0,602.0
35,-486.0,-353.0,-439.0,-1337.0,299.0,700.0
36,-362.0,-418.0,-391.0,-1545.0,58.0,782.0
37,-259.0,-523.0,-352.0,-1759.0,-101.0,826.0
38,-174.0,-599.0,-317.0,-1932.0,-224.0,845.0
39,-84.0,-634.0,-276.0,-2096.0,-335.0,887.0
40,5.0,-775.0,-228.0,-2326.0,-430.0,938.0
41,60.0,-905.0,-169.0,-2475.0,-481.0,965.0
42,674.0,-1440.0,170.0,-2748.0,1215.0,-94.0
43,-526.0,-1221.0,517.0,-1232.0,182.0,-13.0
44,-221.0,-974.0,426.0,153.0,-501.0,84.0
45,-243.0,-926.0,416.0,235.0,-536.0,142.0
46,-147.0,-1066.0,372.0,228.0,-613.0,220.0
47,-46.0,-1102.0,332.0,374.0,-624.0,235.0
48,-97.0,-1010.0,352.0,586.0,-532.0,192.0
49,-138.0,-1023.0,382.0,658.0,-510.0,198.0
50,-88.0,-1129.0,436.0,703.0,-557.0,258.0
51,21.0,-1137.0,492.0,866.0,-604.0,273.0
52,189.0,-1050.0,487.0,1093.0,-590.0,113.0
53,182.0,-640.0,402.0,1245.0,-446.0,-254.0
54,130.0,-751.0,106.0,915.0,-350.0,-456.0
55,-104.0,-969.0,-6.0,1153.0,-417.0,-565.0
