sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,69.0,-975.0,41.0,51.0,-40.0,-14.0
1,66.0,-980.0,38.0,42.0,-38.0,-1.0
2,65.0,-977.0,40.0,35.0,-36.0,10.0
3,63.0,-981.0,40.0,29.0,-35.0,20.0
4,62.0,-981.0,38.0,24.0,-35.0,28.0
5,53.0,-992.0,34.0,21.0,-33.0,36.0
6,48.0,-987.0,36.0,21.0,-36.0,17.0
7,48.0,-992.0,34.0,21.0,-36.0,15.0
8,45.0,-996.0,33.0,23.0,-37.0,12.0
9,47.0,-1002.0,29.0,29.0,-37.0,6.0
10,49.0,-992.0,34.0,36.0,-38.0,1.0
11,50.0,-990.0,35.0,38.0,-37.0,1.0
12,54.0,-992.0,34.0,37.0,-37.0,4.0
13,52.0,-989.0,36.0,37.0,-36.0,6.0
14,50.0,-988.0,36.0,36.0,-36.0,9.0
15,47.0,-989.0,36.0,34.0,-36.0,8.0
16,48.0,-988.0,36.0,34.0,-36.0,6.0
17,51.0,-996.0,32.0,32.0,-36.0,7.0
18,46.0,-981.0,38.0,14.0,-34.0,33.0
19,46.0,-975.0,40.0,10.0,-34.0,34.0
20,44.0,-978.0,37.0,5.0,-34.0,36.0
21,45.0,-980.0,36.0,1.0,-34.0,37.0
22,52.0,-976.0,39.0,-2.0,-35.0,39.0
23,45.0,-981.0,39.0,-9.0,-33.0,43.0
24,37.0,-985.0,34.0,-12.0,-32.0,43.0
25,38.0,-992.0,30.0,-14.0,-33.0,39.0
26,38.0,-995.0,27.0,-12.0,-35.0,33.0
27,37.0,-990.0,33.0,-9.0,-35.0,31.0
28,49.0,-992.0,30.0,-9.0,-37.0,31.0
29,41.0,-990.0,31.0,-14.0,-35.0,46.0
30,193.0,-984.0,-103.0,756.0,-973.0,1161.0
31,524.0,-833.0,-324.0,662.0,-891.0,880.0
32,582.0,-888.0,-327.0,491.0,-659.0,551.0
33,597.0,-812.0,-426.0,396.0,-442.0,467.0
34,532.0,-923.0,-453.0,313.0,-212.0,381.0
35,516.0,-894.0,-451.0,384.0,171.0,228.0
36,470.0,-724.0,-426.0,387.0,313.0,142.0
37,357.0,-638.0,-394.0,260.0,423.0,57.0
38,222.0,-719.0,-360.0,60.0,461.0,-36.0
39,173.0,-770.0,-319.0,-88.0,423.0,-109.0
40,193.0,-800.0,-313.0,-199.0,377.0,-163.0
41,182.0,-829.0,-296.0,-288.0,383.0,-206.0
42,103.0,-786.0,-255.0,-359.0,438.0,-195.0
43,14.0,-750.0,-209.0,-459.0,486.0,-142.0
44,-133.0,-971.0,-87.0,-659.0,432.0,-125.0
45,-195.0,-1014.0,143.0,-734.0,-153.0,-144.0
46,-228.0,-1102.0,133.0,-743.0,-226.0,-223.0
47,-240.0,-1052.0,120.0,-681.0,-332.0,-296.0
48,-252.0,-939.0,117.0,-645.0,-443.0,-336.0
49,-266.0,-898.0,109.0,-681.0,-549.0,-365.0
50,-312.0,-897.0,118.0,-739.0,-662.0,-410.0
51,-338.0,-911.0,134.0,-787.0,-812.0,-448.0
52,-300.0,-978.0,116.0,-812.0,-991.0,-478.0
53,-188.0,-1011.0,90.0,-784.0,-1155.0,-513.0
54,-49.0,-983.0,51.0,-726.0,-1249.0,-520.0
55,60.0,-956.0,16.0,-678.0,-1247.0,-497.0
56,92.0,-994.0,-1.0,-578.0,-1031.0,-382.0
