sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,9.0,-970.0,231.0,-11.0,70.0,-12.0
1,8.0,-972.0,229.0,-12.0,71.0,-13.0
2,8.0,-968.0,232.0,-9.0,71.0,-13.0
3,8.0,-966.0,233.0,-9.0,71.0,-14.0
4,6.0,-965.0,233.0,-12.0,70.0,-15.0
5,5.0,-962.0,236.0,-15.0,69.0,-17.0
6,6.0,-958.0,238.0,-20.0,68.0,-19.0
7,5.0,-958.0,239.0,-26.0,67.0,-20.0
8,9.0,-966.0,235.0,-35.0,66.0,-22.0
9,7.0,-972.0,228.0,-39.0,68.0,-24.0
10,18.0,-994.0,219.0,-39.0,66.0,-27.0
11,16.0,-1001.0,205.0,-24.0,74.0,-26.0
12,10.0,-974.0,228.0,8.0,74.0,-18.0
13,13.0,-972.0,230.0,6.0,67.0,-13.0
14,8.0,-969.0,232.0,5.0,70.0,-12.0
15,6.0,-966.0,233.0,1.0,71.0,-10.0
16,8.0,-972.0,229.0,-5.0,68.0,-10.0
17,8.0,-968.0,231.0,-7.0,66.0,-9.0
18,13.0,-961.0,235.0,-11.0,64.0,-8.0
19,13.0,-971.0,231.0,-23.0,70.0,-8.0
20,3.0,-966.0,231.0,-29.0,77.0,-11.0
21,17.0,-991.0,205.0,-3.0,80.0,-35.0
22,9.0,-968.0,229.0,28.0,83.0,-32.0
23,8.0,-960.0,232.0,31.0,75.0,-28.0
24,8.0,-965.0,224.0,23.0,72.0,-28.0
25,5.0,-964.0,230.0,25.0,71.0,-29.0
26,0.0,-969.0,226.0,21.0,69.0,-32.0
27,10.0,-969.0,225.0,18.0,61.0,-39.0
28,1.0,-969.0,236.0,22.0,57.0,-39.0
29,5.0,-967.0,227.0,19.0,48.0,-44.0
30,54.0,-944.0,249.0,75.0,-97.0,-126.0
31,59.0,-959.0,235.0,46.0,-77.0,-122.0
32,54.0,-954.0,236.0,32.0,-49.0,-120.0
33,46.0,-958.0,239.0,23.0,-31.0,-118.0
34,70.0,-971.0,222.0,12.0,-17.0,-119.0
35,74.0,-968.0,225.0,16.0,8.0,-108.0
36,61.0,-952.0,242.0,19.0,30.0,-88.0
37,46.0,-949.0,247.0,6.0,39.0,-76.0
38,17.0,-958.0,248.0,-8.0,43.0,-76.0
39,18.0,-966.0,237.0,-22.0,29.0,-89.0
40,14.0,-962.0,238.0,-23.0,14.0,-104.0
41,52.0,-968.0,230.0,35.0,32.0,-43.0
42,55.0,-974.0,226.0,35.0,36.0,-42.0
43,65.0,-964.0,236.0,42.0,35.0,-37.0
44,61.0,-961.0,240.0,39.0,38.0,-29.0
45,59.0,-962.0,240.0,34.0,42.0,-25.0
46,59.0,-962.0,241.0,33.0,45.0,-24.0
47,59.0,-965.0,238.0,33.0,45.0,-19.0
48,72.0,-965.0,239.0,37.0,41.0,-12.0
49,77.0,-968.0,234.0,40.0,46.0,1.0
50,54.0,-967.0,249.0,88.0,116.0,29.0
51,80.0,-1047.0,250.0,229.0,287.0,195.0
52,76.0,-1023.0,266.0,264.0,323.0,215.0
53,34.0,-1011.0,270.0,276.0,375.0,229.0
54,-1.0,-996.0,280.0,288.0,403.0,232.0
55,-24.0,-996.0,282.0,298.0,396.0,224.0
56,-11.0,-998.0,287.0,312.0,349.0,218.0
57,-10.0,-1000.0,293.0,334.0,316.0,223.0
58,6.0,-997.0,295.0,360.0,288.0,232.0
59,-33.0,-1022.0,306.0,384.0,288.0,243.0
60,-64.0,-1059.0,325.0,414.0,263.0,245.0
61,-23.0,-1069.0,326.0,470.0,200.0,249.0
62,9.0,-1490.0,353.0,1762.0,110.0,-89.0
63,417.0,-309.0,-498.0,-979.0,209.0,-256.0
64,414.0,-297.0,-482.0,-1260.0,292.0,-242.0
65,383.0,-364.0,-466.0,-1579.0,383.0,-310.0
66,339.0,-399.0,-440.0,-1814.0,465.0,-386.0
67,283.0,-423.0,-412.0,-2028.0,521.0,-435.0
68,247.0,-519.0,-367.0,-2287.0,517.0,-471.0
69,324.0,-633.0,-287.0,-2526.0,432.0,-505.0
70,426.0,-744.0,-180.0,-2699.0,405.0,-542.0
71,492.0,-878.0,-89.0,-2819.0,474.0,-625.0
72,457.0,-952.0,-1.0,-2857.0,585.0,-754.0
73,-149.0,-1720.0,518.0,-2347.0,1344.0,-2353.0
74,-323.0,-1636.0,513.0,-2179.0,1567.0,-2347.0
75,-541.0,-1560.0,515.0,-2086.0,1777.0,-2242.0
76,-659.0,-1588.0,491.0,-2081.0,1846.0,-2018.0
77,-743.0,-1568.0,494.0,-1981.0,1867.0,-1745.0
78,-735.0,-1549.0,507.0,-1732.0,1725.0,-1337.0
79,-763.0,-1537.0,542.0,-1573.0,1660.0,-1243.0
80,-849.0,-1498.0,578.0,-1400.0,1568.0,-1142.0
81,-981.0,-1354.0,651.0,-1160.0,1416.0,-948.0
82,-1116.0,-1227.0,730.0,-1014.0,1143.0,-699.0
83,-1295.0,-1185.0,836.0,-954.0,781.0,-490.0
84,-1329.0,-1338.0,875.0,-938.0,291.0,-286.0
85,-1202.0,-1393.0,887.0,-677.0,-227.0,-31.0
86,-852.0,-1278.0,849.0,-267.0,-732.0,207.0
87,824.0,-1098.0,-200.0,815.0,249.0,229.0
88,114.0,-927.0,218.0,729.0,-167.0,178.0
89,246.0,-988.0,126.0,603.0,-255.0,170.0
90,290.0,-980.0,100.0,599.0,-219.0,214.0
91,288.0,-918.0,151.0,644.0,-155.0,281.0
92,259.0,-897.0,183.0,621.0,-70.0,336.0
93,219.0,-898.0,208.0,564.0,-15.0,390.0
94,199.0,-924.0,197.0,504.0,1.0,439.0
95,187.0,-977.0,131.0,458.0,7.0,471.0
96,159.0,-1018.0,110.0,466.0,25.0,490.0
97,142.0,-1007.0,135.0,511.0,2.0,499.0
98,143.0,-992.0,140.0,525.0,-35.0,507.0
99,70.0,-963.0,226.0,68.0,101.0,227.0
100,54.0,-951.0,245.0,91.0,65.0,257.0
101,48.0,-971.0,235.0,71.0,75.0,248.0
102,52.0,-972.0,230.0,73.0,78.0,240.0
103,43.0,-964.0,241.0,87.0,81.0,238.0
104,47.0,-978.0,235.0,84.0,88.0,227.0
105,47.0,-979.0,236.0,88.0,97.0,221.0
106,39.0,-971.0,247.0,98.0,107.0,221.0
107,45.0,-991.0,239.0,86.0,111.0,215.0
108,-117.0,-1003.0,277.0,217.0,296.0,193.0
109,-92.0,-963.0,282.0,240.0,235.0,157.0
110,-68.0,-953.0,299.0,235.0,178.0,150.0
111,-20.0,-1008.0,297.0,213.0,136.0,174.0
112,21.0,-1043.0,277.0,245.0,137.0,233.0
113,-8.0,-1042.0,294.0,312.0,194.0,315.0
114,-47.0,-1058.0,300.0,373.0,228.0,387.0
115,-59.0,-1113.0,312.0,415.0,237.0,436.0
116,-41.0,-1103.0,306.0,511.0,247.0,498.0
117,-51.0,-1096.0,313.0,586.0,270.0,531.0
118,-115.0,-1090.0,324.0,650.0,300.0,584.0
119,307.0,-1959.0,251.0,2340.0,19.0,425.0
120,203.0,-1155.0,177.0,-2731.0,-540.0,-1540.0
121,193.0,-1238.0,204.0,-2779.0,-479.0,-1591.0
122,183.0,-1327.0,229.0,-2816.0,-435.0,-1620.0
123,157.0,-1415.0,245.0,-2827.0,-410.0,-1648.0
124,146.0,-1496.0,258.0,-2802.0,-420.0,-1686.0
125,104.0,-1591.0,281.0,-2758.0,-442.0,-1739.0
126,245.0,-1626.0,313.0,-2667.0,-552.0,-1797.0
127,300.0,-1656.0,330.0,-2572.0,-565.0,-1904.0
