sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,27.0,-948.0,274.0,-32.0,81.0,-25.0
1,21.0,-955.0,273.0,-38.0,77.0,-37.0
2,12.0,-964.0,269.0,-38.0,68.0,-54.0
3,66.0,-970.0,265.0,-11.0,69.0,13.0
4,29.0,-961.0,262.0,-84.0,123.0,27.0
5,28.0,-955.0,262.0,-45.0,100.0,-48.0
6,38.0,-954.0,265.0,-47.0,91.0,-54.0
7,53.0,-953.0,263.0,-48.0,84.0,-50.0
8,51.0,-963.0,253.0,-48.0,90.0,-38.0
9,51.0,-973.0,245.0,-44.0,96.0,-29.0
10,43.0,-974.0,246.0,-32.0,99.0,-22.0
11,40.0,-966.0,248.0,-19.0,95.0,-17.0
12,39.0,-969.0,249.0,-11.0,94.0,-15.0
13,25.0,-959.0,257.0,-2.0,95.0,-15.0
14,34.0,-959.0,259.0,-2.0,86.0,-21.0
15,43.0,-961.0,258.0,-6.0,82.0,-24.0
16,49.0,-966.0,255.0,-9.0,80.0,-19.0
17,48.0,-972.0,248.0,-8.0,81.0,-10.0
18,37.0,-968.0,249.0,2.0,81.0,-3.0
19,33.0,-967.0,254.0,7.0,73.0,-1.0
20,41.0,-964.0,258.0,6.0,66.0,-9.0
21,27.0,-966.0,256.0,15.0,57.0,-38.0
22,34.0,-954.0,271.0,5.0,40.0,-13.0
23,25.0,-951.0,276.0,-3.0,31.0,-10.0
24,11.0,-957.0,269.0,-14.0,25.0,-21.0
25,6.0,-972.0,257.0,-22.0,20.0,-46.0
26,18.0,-980.0,241.0,-18.0,7.0,-75.0
27,42.0,-980.0,238.0,-1.0,-10.0,-90.0
28,51.0,-946.0,263.0,27.0,-15.0,-85.0
29,67.0,-929.0,273.0,23.0,-24.0,-69.0
30,62.0,-969.0,270.0,-3.0,-13.0,-51.0
31,53.0,-934.0,277.0,133.0,-21.0,33.0
32,54.0,-945.0,279.0,-8.0,0.0,-84.0
33,71.0,-937.0,291.0,-20.0,5.0,-92.0
34,64.0,-931.0,294.0,-46.0,33.0,-91.0
35,75.0,-948.0,279.0,-77.0,44.0,-95.0
36,52.0,-966.0,263.0,-82.0,64.0,-92.0
37,27.0,-969.0,272.0,-70.0,78.0,-103.0
38,63.0,-953.0,272.0,-65.0,67.0,-124.0
39,51.0,-983.0,250.0,-81.0,79.0,-126.0
40,33.0,-991.0,242.0,-70.0,84.0,-123.0
41,44.0,-995.0,238.0,-58.0,62.0,-132.0
42,55.0,-986.0,243.0,-42.0,43.0,-135.0
43,61.0,-976.0,245.0,-34.0,36.0,-131.0
44,59.0,-938.0,287.0,-20.0,33.0,-129.0
45,74.0,-952.0,271.0,-54.0,40.0,-135.0
46,59.0,-977.0,244.0,-78.0,62.0,-133.0
47,60.0,-970.0,244.0,-30.0,121.0,1.0
48,63.0,-975.0,242.0,-19.0,112.0,-7.0
49,76.0,-973.0,240.0,-10.0,102.0,-8.0
50,78.0,-971.0,242.0,5.0,100.0,0.0
51,79.0,-961.0,254.0,31.0,98.0,21.0
52,72.0,-966.0,253.0,31.0,109.0,26.0
53,67.0,-968.0,247.0,37.0,119.0,24.0
54,57.0,-983.0,236.0,46.0,124.0,20.0
55,60.0,-988.0,232.0,69.0,121.0,13.0
56,61.0,-964.0,258.0,99.0,116.0,6.0
57,65.0,-975.0,255.0,93.0,115.0,-5.0
58,66.0,-993.0,240.0,91.0,131.0,-20.0
59,63.0,-980.0,246.0,119.0,134.0,-27.0
60,45.0,-1002.0,278.0,222.0,234.0,137.0
61,45.0,-989.0,286.0,236.0,230.0,146.0
62,1.0,-1038.0,277.0,245.0,225.0,154.0
63,-3.0,-1043.0,293.0,272.0,206.0,144.0
64,38.0,-1064.0,307.0,299.0,135.0,145.0
65,21.0,-1115.0,318.0,315.0,124.0,182.0
66,-5.0,-1155.0,339.0,371.0,121.0,226.0
67,-4.0,-1242.0,341.0,431.0,88.0,271.0
