sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,78.0,-984.0,129.0,49.0,-23.0,-29.0
1,99.0,-985.0,131.0,80.0,-40.0,-81.0
2,108.0,-963.0,143.0,58.0,-33.0,-39.0
3,110.0,-965.0,144.0,53.0,-32.0,-34.0
4,104.0,-981.0,138.0,49.0,-32.0,-31.0
5,105.0,-979.0,140.0,50.0,-34.0,-32.0
6,105.0,-984.0,138.0,51.0,-34.0,-36.0
7,109.0,-973.0,142.0,55.0,-34.0,-37.0
8,105.0,-973.0,142.0,54.0,-35.0,-35.0
9,99.0,-990.0,137.0,54.0,-36.0,-36.0
10,93.0,-979.0,141.0,60.0,-37.0,-44.0
11,105.0,-976.0,142.0,61.0,-41.0,-54.0
12,114.0,-971.0,142.0,60.0,-42.0,-56.0
13,122.0,-965.0,144.0,52.0,-41.0,-45.0
14,123.0,-951.0,144.0,14.0,-46.0,3.0
15,96.0,-1005.0,136.0,51.0,-41.0,-15.0
16,97.0,-1012.0,135.0,57.0,-40.0,-27.0
17,98.0,-1008.0,136.0,67.0,-39.0,-39.0
18,92.0,-1013.0,137.0,75.0,-39.0,-53.0
19,97.0,-1014.0,136.0,84.0,-39.0,-70.0
20,90.0,-1012.0,139.0,95.0,-40.0,-85.0
21,91.0,-1006.0,141.0,106.0,-43.0,-103.0
22,91.0,-999.0,142.0,113.0,-45.0,-126.0
23,91.0,-1004.0,142.0,118.0,-48.0,-152.0
24,93.0,-1005.0,144.0,126.0,-52.0,-176.0
25,107.0,-1002.0,145.0,133.0,-57.0,-199.0
26,116.0,-1000.0,150.0,143.0,-59.0,-225.0
27,60.0,-1324.0,140.0,466.0,-57.0,-745.0
28,184.0,-1349.0,128.0,557.0,-82.0,-854.0
29,170.0,-1450.0,132.0,654.0,-51.0,-939.0
30,85.0,-1409.0,165.0,808.0,-47.0,-878.0
31,-56.0,-1461.0,207.0,931.0,-83.0,-819.0
32,-115.0,-1586.0,203.0,1042.0,-165.0,-799.0
33,-318.0,-1681.0,188.0,1196.0,-261.0,-755.0
34,-399.0,-1706.0,167.0,1404.0,-456.0,-622.0
35,-435.0,-1691.0,215.0,1612.0,-663.0,-570.0
36,-499.0,-1594.0,253.0,1798.0,-867.0,-594.0
37,-467.0,-1464.0,186.0,1941.0,-1103.0,-597.0
38,-601.0,-1254.0,192.0,2118.0,-1492.0,-636.0
39,191.0,-1146.0,208.0,-1507.0,2514.0,1304.0
40,96.0,-1173.0,197.0,-1505.0,2614.0,1215.0
41,17.0,-1162.0,192.0,-1456.0,2649.0,1249.0
42,-187.0,-1233.0,232.0,-1353.0,2585.0,1444.0
43,-456.0,-1318.0,357.0,-1185.0,2349.0,1641.0
44,-799.0,-1362.0,553.0,-975.0,1914.0,1681.0
45,-1058.0,-1255.0,709.0,-745.0,1203.0,1621.0
46,-1073.0,-1050.0,767.0,-619.0,265.0,1521.0
47,-874.0,-958.0,694.0,-645.0,-725.0,1431.0
48,-453.0,-1072.0,570.0,-711.0,-1624.0,1372.0
49,-4.0,-1191.0,462.0,-699.0,-2295.0,1287.0
50,746.0,-1126.0,355.0,-531.0,-2868.0,921.0
51,89.0,-966.0,94.0,222.0,-117.0,-161.0
52,88.0,-970.0,91.0,208.0,-106.0,-148.0
53,90.0,-981.0,87.0,197.0,-99.0,-132.0
54,87.0,-990.0,89.0,190.0,-94.0,-114.0
