sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,45.0,-963.0,249.0,37.0,80.0,-4.0
1,45.0,-952.0,258.0,38.0,73.0,0.0
2,46.0,-951.0,259.0,26.0,69.0,3.0
3,37.0,-950.0,260.0,15.0,69.0,4.0
4,34.0,-953.0,258.0,6.0,67.0,-1.0
5,40.0,-958.0,256.0,-1.0,63.0,-8.0
6,45.0,-966.0,250.0,-6.0,61.0,-12.0
7,55.0,-975.0,243.0,-56.0,-4.0,-40.0
8,38.0,-959.0,251.0,-10.0,-54.0,-79.0
9,75.0,-967.0,244.0,19.0,107.0,-109.0
10,93.0,-976.0,233.0,16.0,110.0,-105.0
11,86.0,-958.0,254.0,31.0,120.0,-90.0
12,73.0,-949.0,263.0,28.0,135.0,-84.0
13,66.0,-966.0,243.0,7.0,147.0,-89.0
14,72.0,-978.0,242.0,4.0,146.0,-91.0
15,66.0,-974.0,238.0,12.0,146.0,-84.0
16,64.0,-967.0,248.0,14.0,147.0,-79.0
17,69.0,-966.0,246.0,7.0,145.0,-76.0
18,73.0,-967.0,247.0,-1.0,143.0,-71.0
19,82.0,-956.0,257.0,0.0,137.0,-59.0
20,70.0,-984.0,232.0,-17.0,144.0,-43.0
21,40.0,-951.0,272.0,78.0,102.0,108.0
22,36.0,-990.0,241.0,50.0,82.0,53.0
23,30.0,-958.0,269.0,78.0,80.0,46.0
24,49.0,-984.0,264.0,74.0,71.0,39.0
25,55.0,-1008.0,237.0,77.0,83.0,37.0
26,67.0,-957.0,272.0,117.0,85.0,53.0
27,63.0,-945.0,279.0,112.0,95.0,73.0
28,56.0,-943.0,282.0,102.0,113.0,89.0
29,50.0,-953.0,273.0,90.0,129.0,101.0
30,52.0,-966.0,261.0,88.0,138.0,112.0
31,47.0,-952.0,275.0,97.0,145.0,127.0
32,26.0,-952.0,276.0,93.0,160.0,135.0
33,27.0,-990.0,267.0,73.0,155.0,109.0
34,121.0,-1235.0,379.0,722.0,98.0,405.0
35,121.0,-1377.0,352.0,752.0,185.0,268.0
36,27.0,-1359.0,368.0,913.0,332.0,208.0
37,-89.0,-1389.0,362.0,1016.0,402.0,160.0
38,-93.0,-1443.0,359.0,1106.0,344.0,126.0
39,-42.0,-1416.0,338.0,1247.0,296.0,99.0
40,-16.0,-1389.0,350.0,1368.0,320.0,65.0
41,72.0,-1376.0,329.0,1469.0,335.0,79.0
42,180.0,-1344.0,317.0,1584.0,362.0,111.0
43,250.0,-1343.0,328.0,1670.0,444.0,104.0
44,332.0,-1362.0,312.0,1749.0,521.0,121.0
45,402.0,-924.0,-53.0,-1361.0,722.0,-117.0
46,255.0,-1267.0,283.0,-1983.0,-502.0,-1457.0
47,361.0,-1307.0,304.0,-1927.0,-521.0,-1516.0
48,398.0,-1377.0,307.0,-1878.0,-478.0,-1594.0
49,311.0,-1431.0,310.0,-1804.0,-410.0,-1726.0
50,94.0,-1447.0,315.0,-1722.0,-358.0,-1858.0
51,-131.0,-1480.0,327.0,-1670.0,-400.0,-1891.0
52,-263.0,-1540.0,371.0,-1628.0,-562.0,-1818.0
53,-270.0,-1583.0,405.0,-1499.0,-756.0,-1711.0
54,-501.0,-1614.0,433.0,-1349.0,-658.0,-1612.0
55,-565.0,-1659.0,462.0,-1182.0,-714.0,-1425.0
56,-444.0,-1637.0,474.0,-940.0,-902.0,-1192.0
57,-245.0,-1029.0,399.0,10.0,510.0,-426.0
58,-334.0,-974.0,345.0,59.0,539.0,-384.0
59,-437.0,-956.0,307.0,64.0,508.0,-265.0
60,-429.0,-952.0,286.0,58.0,360.0,-118.0
61,-385.0,-917.0,284.0,68.0,213.0,-26.0
62,-401.0,-902.0,301.0,48.0,122.0,-5.0
63,-386.0,-951.0,294.0,-1.0,-14.0,28.0
64,-361.0,-1024.0,306.0,-6.0,-187.0,78.0
65,-330.0,-1107.0,308.0,50.0,-356.0,123.0
66,-376.0,-1146.0,334.0,190.0,-512.0,192.0
67,-357.0,-1177.0,331.0,356.0,-756.0,269.0
68,-202.0,-881.0,310.0,716.0,-1211.0,406.0
69,157.0,-966.0,284.0,897.0,-390.0,647.0
70,281.0,-1045.0,53.0,735.0,-260.0,608.0
71,181.0,-916.0,197.0,800.0,-97.0,588.0
72,4.0,-707.0,470.0,814.0,-32.0,521.0
73,208.0,-820.0,334.0,552.0,-113.0,414.0
74,250.0,-887.0,230.0,382.0,-38.0,400.0
75,184.0,-905.0,245.0,327.0,29.0,447.0
76,167.0,-982.0,211.0,259.0,21.0,423.0
77,139.0,-998.0,186.0,220.0,49.0,361.0
78,76.0,-940.0,231.0,216.0,83.0,303.0
79,80.0,-929.0,230.0,162.0,78.0,218.0
80,149.0,-981.0,185.0,-48.0,163.0,108.0
81,150.0,-963.0,195.0,-19.0,169.0,123.0
82,127.0,-979.0,187.0,-3.0,184.0,138.0
83,123.0,-988.0,178.0,15.0,176.0,144.0
84,131.0,-966.0,193.0,54.0,152.0,163.0
85,126.0,-968.0,184.0,69.0,144.0,192.0
86,133.0,-978.0,188.0,81.0,123.0,222.0
87,87.0,-951.0,208.0,99.0,123.0,246.0
