sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ,Speed
0,-52.0,-884.0,72.0,383.0,-67.0,201.0,0.36
1,-132.0,-946.0,36.0,231.0,-22.0,95.0,0.36
2,-132.0,-979.0,37.0,83.0,-30.0,13.0,0.36
3,-128.0,-989.0,33.0,66.0,-35.0,-10.0,0.36
4,-112.0,-996.0,28.0,57.0,-40.0,-27.0,0.4
5,-105.0,-1003.0,26.0,54.0,-42.0,-30.0,0.4
6,-101.0,-1006.0,26.0,56.0,-41.0,-24.0,0.4
7,-103.0,-1006.0,25.0,60.0,-42.0,-14.0,0.4
8,-104.0,-1000.0,26.0,64.0,-46.0,-3.0,0.4
9,-105.0,-980.0,35.0,67.0,-48.0,6.0,0.4
10,-101.0,-980.0,32.0,63.0,-47.0,14.0,0.4
11,-111.0,-975.0,36.0,61.0,-44.0,20.0,0.4
12,-120.0,-978.0,37.0,56.0,-43.0,18.0,0.4
13,-105.0,-1011.0,20.0,60.0,-45.0,10.0,0.4
14,-115.0,-981.0,40.0,73.0,-39.0,14.0,0.4
15,-112.0,-987.0,43.0,69.0,-39.0,-6.0,0.4
16,-123.0,-998.0,40.0,73.0,-37.0,-2.0,0.4
17,-118.0,-1002.0,38.0,80.0,-40.0,-6.0,0.4
18,-120.0,-995.0,43.0,88.0,-40.0,-7.0,0.4
19,-115.0,-1003.0,41.0,94.0,-40.0,-8.0,0.4
20,-127.0,-1006.0,41.0,103.0,-38.0,-12.0,0.4
21,-119.0,-1017.0,36.0,112.0,-40.0,-18.0,0.4
22,-128.0,-1032.0,35.0,128.0,-40.0,-22.0,0.4
23,-117.0,-1056.0,25.0,152.0,-43.0,-26.0,0.4
24,-109.0,-1050.0,31.0,184.0,-43.0,-27.0,0.4
25,-89.0,-1079.0,23.0,213.0,-42.0,-18.0,0.4
26,-122.0,-1155.0,23.0,312.0,-26.0,-18.0,0.4
27,-263.0,-1813.0,-122.0,1830.0,-227.0,-290.0,0.4
28,1132.0,1766.0,-1163.0,4611.0,248.0,-454.0,0.4
29,642.0,1034.0,-490.0,2314.0,1016.0,-388.0,0.4
30,-74.0,-1034.0,-905.0,605.0,1487.0,53.0,0.4
31,-130.0,-919.0,-911.0,505.0,1462.0,420.0,0.4
32,-109.0,-313.0,-777.0,611.0,1310.0,840.0,0.4
33,-111.0,0.0,-718.0,402.0,1210.0,797.0,0.4
34,-290.0,156.0,-739.0,-35.0,1102.0,473.0,0.4
35,-379.0,-12.0,-739.0,-519.0,870.0,239.0,0.4
36,95.0,-106.0,-572.0,-1947.0,122.0,36.0,0.4
37,538.0,-1651.0,108.0,-3124.0,-343.0,-583.0,0.4
38,-258.0,-1242.0,557.0,-2079.0,-404.0,-1897.0,0.4
39,-304.0,-1297.0,568.0,-2173.0,-519.0,-1859.0,0.4
40,-301.0,-1348.0,618.0,-2197.0,-615.0,-1648.0,0.65
41,-231.0,-1290.0,705.0,-2180.0,-674.0,-1372.0,0.65
42,-108.0,-1269.0,806.0,-2167.0,-682.0,-1065.0,0.65
43,19.0,-1348.0,905.0,-2120.0,-623.0,-762.0,0.65
44,94.0,-1415.0,1005.0,-1988.0,-493.0,-581.0,0.65
45,81.0,-1436.0,1094.0,-1771.0,-311.0,-571.0,0.65
46,-44.0,-1402.0,1179.0,-1491.0,-112.0,-682.0,0.65
47,-229.0,-1294.0,1263.0,-1191.0,47.0,-793.0,0.65
48,-429.0,-1218.0,1317.0,-922.0,134.0,-806.0,0.65
49,-671.0,-1339.0,1283.0,-359.0,42.0,-331.0,0.65
50,-12.0,-881.0,140.0,2347.0,-485.0,904.0,0.65
51,-92.0,-957.0,27.0,283.0,-7.0,189.0,0.65
52,-125.0,-985.0,0.0,246.0,2.0,179.0,0.65
53,-134.0,-957.0,22.0,232.0,-3.0,147.0,0.65
54,-135.0,-976.0,12.0,198.0,-9.0,110.0,0.65
55,-117.0,-984.0,10.0,173.0,-15.0,73.0,0.65
56,-107.0,-995.0,9.0,151.0,-20.0,56.0,0.65
57,-122.0,-1008.0,3.0,133.0,-24.0,49.0,0.65
58,-123.0,-1006.0,3.0,120.0,-32.0,32.0,0.65
59,-119.0,-1011.0,2.0,108.0,-39.0,15.0,0.65
60,-114.0,-1009.0,5.0,104.0,-47.0,5.0,0.65
61,-103.0,-1003.0,5.0,98.0,-54.0,0.0,0.65
62,-100.0,-985.0,11.0,89.0,-57.0,15.0,0.65
63,-102.0,-972.0,14.0,43.0,-42.0,8.0,0.65
64,-108.0,-997.0,6.0,52.0,-39.0,5.0,0.65
65,-105.0,-998.0,5.0,58.0,-40.0,8.0,0.65
66,-107.0,-994.0,7.0,67.0,-40.0,12.0,0.65
67,-113.0,-994.0,8.0,72.0,-41.0,14.0,0.65
68,-114.0,-995.0,7.0,78.0,-41.0,12.0,0.65
69,-110.0,-1004.0,4.0,83.0,-42.0,10.0,0.65
70,-105.0,-1010.0,3.0,94.0,-43.0,13.0,0.65
71,-100.0,-1018.0,1.0,108.0,-43.0,23.0,0.65
72,-102.0,-1017.0,1.0,124.0,-42.0,34.0,0.65
73,-111.0,-1024.0,2.0,141.0,-41.0,46.0,0.65
74,-103.0,-1023.0,8.0,185.0,-38.0,48.0,0.65
75,-279.0,-1690.0,-58.0,1412.0,-108.0,31.0,0.65
76,92.0,-1959.0,-690.0,4827.0,277.0,-504.0,0.78
77,-145.0,-1959.0,-933.0,5042.0,298.0,-385.0,0.78
78,1095.0,-32.0,-1495.0,5429.0,176.0,-248.0,0.78
79,570.0,1958.0,-595.0,4769.0,717.0,138.0,0.78
80,279.0,252.0,-681.0,1157.0,1161.0,0.0,0.78
81,203.0,-1543.0,-1223.0,32.0,1264.0,135.0,0.78
82,-77.0,-864.0,-930.0,378.0,1248.0,444.0,0.78
83,148.0,-227.0,-901.0,582.0,1058.0,595.0,0.78
84,-34.0,457.0,-833.0,327.0,1049.0,177.0,0.78
85,-235.0,393.0,-896.0,-360.0,922.0,-226.0,0.78
86,-353.0,-47.0,-887.0,-945.0,643.0,-243.0,0.78
87,-126.0,-38.0,-797.0,-1472.0,32.0,-129.0,0.78
88,156.0,-1886.0,321.0,-3420.0,-455.0,-1169.0,0.78
89,147.0,-1903.0,402.0,-3268.0,-433.0,-1340.0,0.78
90,119.0,-1896.0,513.0,-3098.0,-391.0,-1432.0,0.78
91,100.0,-1944.0,650.0,-2893.0,-341.0,-1404.0,0.78
92,111.0,-1959.0,816.0,-2607.0,-274.0,-1344.0,0.78
93,130.0,-1959.0,1006.0,-2237.0,-168.0,-1347.0,0.78
94,66.0,-1818.0,1212.0,-1820.0,-7.0,-1422.0,0.78
95,-63.0,-1546.0,1394.0,-1491.0,175.0,-1500.0,0.78
96,-295.0,-1519.0,1576.0,-1261.0,345.0,-1444.0,0.78
97,-593.0,-1593.0,1723.0,-997.0,454.0,-1136.0,0.78
98,-794.0,-1691.0,1743.0,-623.0,455.0,-591.0,0.78
99,-707.0,-1483.0,1415.0,348.0,236.0,607.0,0.78
100,-174.0,-918.0,17.0,2514.0,-359.0,549.0,0.78
101,-200.0,-856.0,182.0,2237.0,-198.0,341.0,0.78
102,-294.0,-834.0,183.0,1887.0,-171.0,182.0,0.78
103,-209.0,-926.0,72.0,1573.0,-279.0,14.0,0.78
104,64.0,-771.0,219.0,1346.0,-324.0,-79.0,0.78
105,-26.0,-785.0,192.0,992.0,-200.0,-15.0,0.78
106,-102.0,-885.0,134.0,695.0,-194.0,72.0,0.78
107,-28.0,-974.0,-13.0,522.0,-201.0,82.0,0.78
