sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,-2.0,-977.0,222.0,-5.0,55.0,-45.0
1,-4.0,-969.0,226.0,-6.0,56.0,-44.0
2,-6.0,-966.0,228.0,-9.0,59.0,-46.0
3,0.0,-969.0,219.0,-47.0,35.0,-68.0
4,-13.0,-957.0,228.0,-51.0,12.0,-115.0
5,23.0,-998.0,194.0,33.0,-85.0,-143.0
6,17.0,-976.0,217.0,64.0,-88.0,-154.0
7,23.0,-942.0,246.0,74.0,-105.0,-150.0
8,12.0,-937.0,253.0,50.0,-115.0,-147.0
9,56.0,-965.0,226.0,13.0,-125.0,-160.0
10,82.0,-979.0,190.0,3.0,-106.0,-162.0
11,57.0,-983.0,207.0,21.0,-71.0,-147.0
12,92.0,-1004.0,192.0,23.0,-58.0,-147.0
13,90.0,-996.0,191.0,38.0,-10.0,-135.0
14,34.0,-954.0,239.0,65.0,22.0,-110.0
15,47.0,-975.0,210.0,34.0,16.0,-109.0
16,42.0,-983.0,205.0,-18.0,72.0,-122.0
17,68.0,-988.0,199.0,-16.0,86.0,-74.0
18,59.0,-970.0,222.0,56.0,112.0,-63.0
19,73.0,-973.0,223.0,52.0,110.0,-70.0
20,73.0,-969.0,226.0,52.0,119.0,-65.0
21,78.0,-974.0,214.0,47.0,130.0,-56.0
22,80.0,-967.0,220.0,55.0,133.0,-42.0
23,67.0,-958.0,230.0,63.0,137.0,-24.0
24,63.0,-966.0,225.0,57.0,134.0,-16.0
25,55.0,-974.0,226.0,59.0,133.0,-12.0
26,63.0,-982.0,221.0,59.0,124.0,-16.0
27,70.0,-983.0,221.0,64.0,119.0,-16.0
28,66.0,-977.0,225.0,69.0,124.0,-9.0
29,62.0,-973.0,227.0,73.0,123.0,-1.0
30,68.0,-976.0,224.0,77.0,121.0,6.0
31,71.0,-971.0,229.0,88.0,119.0,19.0
32,89.0,-975.0,231.0,90.0,115.0,37.0
33,47.0,-1016.0,257.0,232.0,222.0,176.0
34,90.0,-1199.0,286.0,775.0,49.0,165.0
35,-105.0,-1268.0,355.0,1417.0,-107.0,-102.0
36,40.0,-1270.0,342.0,1513.0,-210.0,-102.0
37,167.0,-1331.0,337.0,1566.0,-228.0,-138.0
38,262.0,-1384.0,337.0,1663.0,-183.0,-190.0
39,332.0,-1435.0,317.0,1789.0,-73.0,-245.0
40,358.0,-1479.0,302.0,1928.0,76.0,-284.0
41,395.0,-1572.0,294.0,2044.0,201.0,-317.0
42,381.0,-1690.0,283.0,2194.0,360.0,-335.0
43,377.0,-1752.0,291.0,2430.0,495.0,-343.0
44,380.0,-1764.0,273.0,2712.0,610.0,-302.0
45,320.0,-1674.0,169.0,3023.0,779.0,-223.0
46,368.0,-718.0,-818.0,-1356.0,-193.0,464.0
47,376.0,-1649.0,644.0,-3186.0,-505.0,-397.0
48,397.0,-1155.0,837.0,-2112.0,93.0,-201.0
49,495.0,-1289.0,810.0,-2098.0,319.0,-299.0
50,301.0,-1282.0,805.0,-1879.0,674.0,-502.0
51,-108.0,-1317.0,854.0,-1643.0,986.0,-587.0
52,-377.0,-1308.0,859.0,-1365.0,1022.0,-443.0
53,-255.0,-1079.0,795.0,-1036.0,780.0,-204.0
54,100.0,-1004.0,627.0,-958.0,534.0,-64.0
55,144.0,-1098.0,579.0,-941.0,538.0,-173.0
56,98.0,-1224.0,543.0,-802.0,434.0,-335.0
57,409.0,-949.0,-84.0,870.0,-581.0,-534.0
58,324.0,-1003.0,-172.0,917.0,-356.0,-549.0
59,380.0,-979.0,-258.0,1072.0,-264.0,-555.0
60,539.0,-971.0,-346.0,1230.0,-211.0,-489.0
61,512.0,-1025.0,-330.0,1370.0,19.0,-315.0
62,351.0,-952.0,-114.0,1590.0,250.0,-150.0
63,311.0,-803.0,112.0,1613.0,310.0,-41.0
64,358.0,-792.0,154.0,1281.0,374.0,23.0
65,265.0,-903.0,118.0,932.0,550.0,65.0
66,160.0,-912.0,163.0,788.0,620.0,47.0
67,196.0,-896.0,174.0,674.0,497.0,12.0
68,-62.0,-924.0,274.0,344.0,7.0,198.0
69,92.0,-943.0,228.0,209.0,-71.0,24.0
70,98.0,-996.0,188.0,121.0,-16.0,-63.0
71,121.0,-1028.0,139.0,93.0,-1.0,-117.0
72,227.0,-992.0,149.0,151.0,-87.0,-104.0
73,244.0,-934.0,183.0,217.0,-102.0,-23.0
74,267.0,-931.0,178.0,213.0,-82.0,47.0
75,234.0,-947.0,192.0,209.0,-21.0,114.0
76,217.0,-947.0,190.0,202.0,25.0,164.0
77,155.0,-979.0,198.0,68.0,145.0,32.0
78,128.0,-986.0,213.0,65.0,324.0,71.0
79,-42.0,-1111.0,294.0,813.0,124.0,-142.0
80,-88.0,-1156.0,293.0,881.0,55.0,-150.0
81,-38.0,-1160.0,275.0,986.0,-62.0,-142.0
82,36.0,-1198.0,270.0,1066.0,-146.0,-154.0
83,100.0,-1226.0,273.0,1147.0,-193.0,-188.0
84,120.0,-1257.0,287.0,1230.0,-195.0,-245.0
85,128.0,-1284.0,289.0,1308.0,-198.0,-317.0
86,157.0,-1358.0,319.0,1379.0,-199.0,-385.0
87,35.0,-1588.0,379.0,1466.0,-102.0,-443.0
88,125.0,-1860.0,355.0,1620.0,-105.0,-429.0
89,642.0,-1767.0,184.0,1961.0,-238.0,-349.0
90,386.0,-792.0,-225.0,4297.0,470.0,-13.0
91,-137.0,-450.0,-920.0,-3602.0,363.0,412.0
92,-141.0,-496.0,-852.0,-3709.0,264.0,300.0
93,-110.0,-607.0,-790.0,-3939.0,102.0,157.0
94,-152.0,-740.0,-633.0,-4147.0,-70.0,56.0
95,-167.0,-896.0,-496.0,-4317.0,-287.0,58.0
96,4.0,-1057.0,-378.0,-4426.0,-611.0,110.0
97,213.0,-1152.0,-283.0,-4457.0,-766.0,116.0
98,304.0,-1129.0,-205.0,-4479.0,-709.0,5.0
99,255.0,-1311.0,-118.0,-4738.0,-591.0,-157.0
100,202.0,-1888.0,234.0,-4517.0,-662.0,-43.0
101,63.0,-1746.0,283.0,-4294.0,-719.0,-192.0
102,94.0,-1817.0,309.0,-4360.0,-872.0,-274.0
103,221.0,-1959.0,354.0,-4434.0,-971.0,-281.0
104,228.0,-1959.0,452.0,-4216.0,-836.0,-236.0
105,249.0,-1959.0,560.0,-3954.0,-658.0,-167.0
106,389.0,-1959.0,607.0,-3806.0,-510.0,-60.0
107,389.0,-1959.0,670.0,-3683.0,-195.0,74.0
108,539.0,-1959.0,751.0,-3537.0,41.0,191.0
109,678.0,-1944.0,909.0,-3372.0,337.0,226.0
110,41.0,-1452.0,523.0,1331.0,-320.0,-212.0
111,325.0,-833.0,95.0,1554.0,93.0,-565.0
112,262.0,-856.0,117.0,1462.0,299.0,-561.0
113,361.0,-896.0,66.0,1272.0,365.0,-526.0
114,302.0,-966.0,27.0,1110.0,461.0,-395.0
115,182.0,-861.0,167.0,1108.0,366.0,-245.0
116,217.0,-858.0,172.0,952.0,125.0,-152.0
117,229.0,-946.0,88.0,720.0,120.0,-148.0
118,222.0,-896.0,164.0,676.0,155.0,-130.0
119,155.0,-914.0,156.0,549.0,178.0,-100.0
120,188.0,-943.0,131.0,426.0,107.0,-92.0
121,213.0,-942.0,120.0,385.0,23.0,-57.0
122,204.0,-976.0,92.0,322.0,21.0,-39.0
123,239.0,-954.0,100.0,330.0,8.0,-29.0
124,255.0,-934.0,122.0,351.0,-7.0,12.0
125,238.0,-940.0,131.0,351.0,-26.0,60.0
126,218.0,-998.0,77.0,310.0,-17.0,78.0
127,288.0,-987.0,72.0,347.0,-54.0,110.0
128,267.0,-967.0,98.0,393.0,-22.0,187.0
129,238.0,-969.0,109.0,394.0,14.0,244.0
130,190.0,-985.0,152.0,110.0,70.0,158.0
131,221.0,-942.0,180.0,330.0,112.0,270.0
132,52.0,-1067.0,250.0,481.0,330.0,160.0
133,35.0,-1067.0,263.0,502.0,308.0,118.0
134,-8.0,-1100.0,276.0,530.0,284.0,64.0
135,-1.0,-1118.0,278.0,610.0,202.0,-21.0
136,37.0,-1116.0,273.0,717.0,97.0,-139.0
137,58.0,-1059.0,263.0,808.0,38.0,-239.0
138,9.0,-1072.0,282.0,828.0,25.0,-297.0
139,51.0,-1068.0,271.0,855.0,-42.0,-338.0
140,100.0,-1098.0,278.0,877.0,-90.0,-397.0
141,147.0,-1127.0,274.0,903.0,-94.0,-415.0
142,248.0,-1119.0,276.0,956.0,-115.0,-416.0
143,-338.0,-1626.0,449.0,3069.0,200.0,-1091.0
144,214.0,-398.0,-626.0,841.0,612.0,251.0
145,233.0,-322.0,-648.0,535.0,500.0,303.0
146,152.0,-128.0,-628.0,304.0,501.0,367.0
147,254.0,-143.0,-677.0,-247.0,280.0,460.0
148,251.0,-155.0,-676.0,-713.0,238.0,502.0
149,200.0,-45.0,-653.0,-1056.0,254.0,515.0
150,252.0,-79.0,-658.0,-1621.0,171.0,544.0
151,332.0,-296.0,-654.0,-2225.0,133.0,596.0
152,304.0,-472.0,-598.0,-2523.0,242.0,629.0
153,250.0,-488.0,-500.0,-2601.0,333.0,606.0
154,275.0,-472.0,-415.0,-2735.0,303.0,560.0
155,279.0,-549.0,-339.0,-2974.0,299.0,514.0
156,273.0,-680.0,-293.0,-3177.0,313.0,488.0
157,254.0,-790.0,-210.0,-3290.0,312.0,453.0
158,127.0,-868.0,-61.0,-3362.0,326.0,406.0
159,-105.0,-1535.0,451.0,-3073.0,494.0,-268.0
160,-9.0,-1249.0,1379.0,-1298.0,-624.0,-183.0
