sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ,Speed
91,-1064.0,-243.0,-796.0,-868.0,566.0,1105.0,0.61
92,-956.0,-304.0,-767.0,-1068.0,-34.0,1024.0,0.61
93,687.0,-1604.0,-142.0,-3239.0,-1927.0,1122.0,0.61
94,783.0,-1596.0,-104.0,-3268.0,-1976.0,1092.0,0.61
95,903.0,-1678.0,-71.0,-3313.0,-2008.0,1063.0,0.61
96,1072.0,-1824.0,-26.0,-3299.0,-1979.0,1084.0,0.61
97,1230.0,-1876.0,63.0,-3183.0,-1820.0,1091.0,0.61
98,1281.0,-1730.0,170.0,-3063.0,-1497.0,990.0,0.61
99,1281.0,-1733.0,264.0,-3062.0,-1079.0,888.0,0.61
100,1200.0,-1752.0,386.0,-3064.0,-627.0,964.0,0.61
101,1290.0,-1691.0,521.0,-3033.0,-218.0,1153.0,0.61
102,1484.0,-1758.0,649.0,-2969.0,218.0,1254.0,0.61
103,1554.0,-1783.0,802.0,-2799.0,726.0,1098.0,0.61
104,815.0,-1824.0,1096.0,-2209.0,1641.0,75.0,0.61
105,554.0,-799.0,255.0,613.0,-540.0,230.0,0.61
106,750.0,-770.0,243.0,597.0,-404.0,347.0,0.61
107,1025.0,-1011.0,533.0,527.0,-129.0,496.0,0.61
108,424.0,385.0,210.0,1992.0,152.0,1455.0,0.61
109,74.0,-1110.0,-659.0,3060.0,735.0,2301.0,0.61
110,-709.0,-1023.0,-224.0,3361.0,716.0,2028.0,0.61
111,-638.0,-1345.0,-429.0,3296.0,285.0,1318.0,0.61
112,-131.0,-1265.0,-204.0,3368.0,36.0,803.0,0.61
113,69.0,-738.0,338.0,1314.0,-83.0,-454.0,0.61
114,-97.0,-969.0,42.0,201.0,-55.0,131.0,0.61
115,-86.0,-988.0,33.0,177.0,-46.0,68.0,0.61
116,-78.0,-980.0,38.0,158.0,-41.0,26.0,0.59
117,-75.0,-975.0,40.0,136.0,-32.0,-10.0,0.59
118,-54.0,-986.0,24.0,117.0,-29.0,-36.0,0.59
119,-44.0,-998.0,17.0,114.0,-28.0,-35.0,0.59
120,-42.0,-1002.0,14.0,123.0,-30.0,-16.0,0.59
121,-33.0,-994.0,23.0,135.0,-37.0,12.0,0.59
122,-53.0,-1008.0,16.0,140.0,-38.0,44.0,0.59
123,-61.0,-1000.0,24.0,153.0,-41.0,60.0,0.59
124,-62.0,-994.0,30.0,158.0,-46.0,65.0,0.59
125,-61.0,-993.0,33.0,157.0,-50.0,66.0,0.59
126,-63.0,-987.0,49.0,103.0,-39.0,80.0,0.59
127,-72.0,-995.0,49.0,103.0,-36.0,83.0,0.59
128,-75.0,-988.0,54.0,101.0,-34.0,79.0,0.59
129,-84.0,-995.0,51.0,99.0,-32.0,68.0,0.59
130,-90.0,-999.0,50.0,97.0,-30.0,51.0,0.59
131,-100.0,-1003.0,50.0,98.0,-29.0,30.0,0.59
132,-91.0,-997.0,52.0,100.0,-31.0,7.0,0.59
133,-88.0,-1007.0,49.0,102.0,-29.0,-14.0,0.59
134,-89.0,-1002.0,52.0,110.0,-30.0,-28.0,0.59
135,-65.0,-988.0,55.0,115.0,-33.0,-41.0,0.59
136,-79.0,-1005.0,53.0,118.0,-29.0,-46.0,0.59
137,-73.0,-1021.0,49.0,140.0,-33.0,-80.0,0.59
138,-6.0,-1235.0,66.0,528.0,55.0,-484.0,0.59
139,-18.0,-1959.0,-435.0,3999.0,363.0,-3300.0,0.59
140,53.0,-1959.0,-368.0,4139.0,612.0,-3806.0,0.59
141,-154.0,-1803.0,-288.0,4167.0,855.0,-4050.0,0.59
142,-162.0,-1766.0,-385.0,4053.0,1017.0,-4415.0,0.59
143,-392.0,-1951.0,-527.0,3838.0,1305.0,-4731.0,0.59
144,-33.0,-1808.0,-953.0,3974.0,1399.0,-5017.0,0.59
145,175.0,1040.0,-1145.0,4144.0,1632.0,-5071.0,0.59
146,-684.0,1891.0,-530.0,2935.0,1725.0,-3285.0,0.59
147,-1048.0,-311.0,-699.0,591.0,1192.0,-482.0,0.59
148,-618.0,62.0,-672.0,-284.0,1415.0,-11.0,0.59
149,59.0,-847.0,-427.0,-2837.0,-1657.0,979.0,0.59
150,205.0,-1003.0,-374.0,-2940.0,-1733.0,996.0,0.59
151,353.0,-1175.0,-317.0,-3010.0,-1737.0,1020.0,0.59
152,471.0,-1310.0,-263.0,-3042.0,-1671.0,1048.0,0.59
153,510.0,-1402.0,-212.0,-3057.0,-1557.0,1065.0,0.59
154,503.0,-1466.0,-150.0,-3082.0,-1456.0,1061.0,0.59
155,495.0,-1538.0,-102.0,-3130.0,-1407.0,1037.0,0.59
