sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
107,14.0,-977.0,258.0,151.0,269.0,130.0
108,41.0,-984.0,259.0,146.0,253.0,109.0
109,71.0,-1006.0,251.0,147.0,264.0,95.0
110,58.0,-1020.0,241.0,166.0,304.0,98.0
111,37.0,-1019.0,243.0,203.0,332.0,104.0
112,-40.0,-1064.0,348.0,898.0,127.0,-142.0
113,-51.0,-1537.0,418.0,1613.0,-35.0,-156.0
114,240.0,-1084.0,221.0,4426.0,1018.0,-384.0
115,285.0,-843.0,282.0,4300.0,923.0,-360.0
116,469.0,-599.0,112.0,4186.0,915.0,-369.0
117,327.0,-351.0,-48.0,3981.0,1249.0,-464.0
118,37.0,-12.0,-102.0,3569.0,1312.0,-544.0
119,161.0,165.0,-204.0,2760.0,848.0,-480.0
120,599.0,211.0,-790.0,1691.0,537.0,-359.0
121,-321.0,704.0,-648.0,817.0,1768.0,-87.0
122,-503.0,379.0,-530.0,-928.0,1110.0,718.0
123,-16.0,-802.0,-514.0,-2490.0,-127.0,1098.0
124,87.0,-650.0,-599.0,-1760.0,-154.0,778.0
125,-23.0,172.0,-504.0,-1550.0,-203.0,-46.0
126,301.0,-1726.0,528.0,-3524.0,-1240.0,24.0
127,508.0,-1770.0,561.0,-3437.0,-1182.0,56.0
128,667.0,-1717.0,632.0,-3326.0,-952.0,73.0
129,842.0,-1678.0,686.0,-3313.0,-597.0,47.0
130,709.0,-1732.0,717.0,-3381.0,-13.0,-51.0
131,363.0,-1825.0,762.0,-3409.0,550.0,-156.0
132,129.0,-1932.0,794.0,-3354.0,748.0,-200.0
133,-141.0,-1958.0,838.0,-3109.0,857.0,-189.0
134,-351.0,-1923.0,939.0,-2696.0,807.0,-150.0
135,-309.0,-1809.0,958.0,-2411.0,549.0,-155.0
136,-115.0,-1736.0,993.0,-2131.0,276.0,-262.0
137,159.0,-1321.0,1182.0,-1171.0,178.0,-689.0
138,82.0,-901.0,235.0,1242.0,-310.0,575.0
139,100.0,-831.0,265.0,1138.0,-386.0,541.0
140,69.0,-888.0,241.0,876.0,-94.0,368.0
141,13.0,-925.0,243.0,688.0,66.0,236.0
142,19.0,-930.0,229.0,587.0,31.0,160.0
143,62.0,-890.0,267.0,510.0,-26.0,85.0
144,58.0,-907.0,228.0,378.0,19.0,28.0
145,79.0,-969.0,191.0,247.0,55.0,-19.0
146,78.0,-972.0,193.0,224.0,74.0,-51.0
147,85.0,-959.0,189.0,218.0,78.0,-81.0
148,99.0,-974.0,178.0,192.0,89.0,-101.0
149,96.0,-979.0,191.0,41.0,181.0,-28.0
150,70.0,-1006.0,199.0,198.0,242.0,143.0
151,79.0,-994.0,211.0,223.0,228.0,160.0
152,91.0,-1034.0,189.0,227.0,222.0,178.0
153,84.0,-1012.0,207.0,275.0,230.0,199.0
154,81.0,-989.0,226.0,312.0,234.0,219.0
155,75.0,-1025.0,214.0,312.0,259.0,228.0
156,68.0,-1024.0,226.0,335.0,283.0,233.0
157,35.0,-990.0,260.0,362.0,302.0,238.0
158,-67.0,-1284.0,370.0,1422.0,-55.0,20.0
159,-70.0,-1388.0,373.0,1487.0,-68.0,7.0
160,-82.0,-1494.0,367.0,1602.0,-83.0,-2.0
161,-156.0,-1639.0,391.0,1733.0,-98.0,-22.0
162,-29.0,-1753.0,403.0,1895.0,-213.0,-8.0
163,278.0,-1830.0,343.0,2075.0,-347.0,-27.0
164,374.0,-1949.0,301.0,2233.0,-242.0,-153.0
165,373.0,-1959.0,273.0,2442.0,-71.0,-327.0
166,437.0,-1959.0,286.0,2751.0,16.0,-486.0
167,546.0,-1959.0,245.0,3081.0,105.0,-646.0
168,614.0,-1959.0,119.0,3385.0,311.0,-755.0
169,4.0,-261.0,-464.0,-1714.0,-745.0,392.0
170,113.0,-556.0,-536.0,-1843.0,-790.0,428.0
171,85.0,-102.0,-433.0,-1292.0,-585.0,408.0
172,219.0,80.0,-446.0,-1614.0,-725.0,252.0
173,205.0,1.0,-466.0,-2202.0,-668.0,58.0
174,124.0,-36.0,-499.0,-2619.0,-561.0,27.0
175,197.0,-42.0,-559.0,-3034.0,-622.0,164.0
176,308.0,-175.0,-576.0,-3558.0,-605.0,309.0
177,541.0,-449.0,-562.0,-4041.0,-527.0,335.0
178,729.0,-687.0,-462.0,-4201.0,-252.0,184.0
179,539.0,-822.0,-306.0,-4112.0,338.0,-55.0
180,300.0,-1716.0,549.0,-3071.0,-809.0,-589.0
181,257.0,-1771.0,574.0,-2934.0,-706.0,-656.0
182,86.0,-1790.0,608.0,-2730.0,-579.0,-687.0
183,-175.0,-1593.0,699.0,-2473.0,-480.0,-654.0
184,-283.0,-1488.0,734.0,-2464.0,-541.0,-491.0
185,-430.0,-1552.0,761.0,-2612.0,-554.0,-292.0
186,-394.0,-1559.0,783.0,-2650.0,-701.0,-147.0
187,-203.0,-1534.0,789.0,-2632.0,-896.0,-90.0
188,90.0,-1552.0,800.0,-2620.0,-1037.0,-116.0
189,425.0,-1665.0,809.0,-2532.0,-1053.0,-188.0
190,-86.0,-1142.0,121.0,1532.0,-685.0,202.0
191,84.0,-988.0,180.0,356.0,-40.0,-25.0
192,64.0,-952.0,215.0,354.0,-31.0,-16.0
193,72.0,-944.0,216.0,307.0,-11.0,-30.0
194,99.0,-964.0,209.0,256.0,20.0,-53.0
195,105.0,-972.0,207.0,222.0,60.0,-53.0
196,113.0,-968.0,203.0,198.0,88.0,-44.0
197,79.0,-970.0,205.0,174.0,129.0,-34.0
198,84.0,-985.0,201.0,150.0,134.0,-39.0
199,102.0,-1001.0,194.0,137.0,133.0,-40.0
200,85.0,-985.0,206.0,143.0,146.0,-28.0
201,78.0,-984.0,208.0,131.0,157.0,-23.0
202,56.0,-986.0,214.0,111.0,152.0,-31.0
203,23.0,-1055.0,257.0,329.0,290.0,-25.0
204,99.0,-1041.0,263.0,383.0,241.0,-40.0
205,25.0,-1037.0,277.0,437.0,266.0,-59.0
206,41.0,-1068.0,282.0,469.0,240.0,-73.0
207,23.0,-1056.0,301.0,520.0,216.0,-79.0
208,47.0,-1096.0,299.0,557.0,199.0,-85.0
209,17.0,-1109.0,313.0,615.0,206.0,-110.0
210,25.0,-1074.0,311.0,678.0,187.0,-133.0
211,-73.0,-1078.0,311.0,730.0,221.0,-151.0
212,-129.0,-1093.0,331.0,784.0,162.0,-155.0
213,-63.0,-1070.0,340.0,842.0,36.0,-143.0
214,476.0,-1958.0,300.0,2342.0,118.0,-507.0
215,161.0,-452.0,74.0,3821.0,770.0,-399.0
216,32.0,-81.0,-4.0,3556.0,864.0,-310.0
217,-126.0,344.0,0.0,2954.0,746.0,-152.0
218,19.0,570.0,-197.0,1892.0,383.0,80.0
219,127.0,668.0,-592.0,653.0,368.0,285.0
220,-352.0,517.0,-618.0,-635.0,780.0,546.0
221,-247.0,-469.0,-428.0,-2225.0,-5.0,793.0
222,156.0,-975.0,-564.0,-2361.0,-607.0,794.0
223,50.0,-414.0,-464.0,-1194.0,-299.0,615.0
224,-73.0,177.0,-418.0,-917.0,-222.0,404.0
225,-77.0,323.0,-472.0,-1643.0,-376.0,213.0
226,-123.0,-1451.0,398.0,-3968.0,148.0,529.0
227,-109.0,-1516.0,434.0,-3881.0,-101.0,485.0
228,-48.0,-1565.0,477.0,-3774.0,-364.0,422.0
229,51.0,-1651.0,537.0,-3657.0,-629.0,353.0
230,221.0,-1767.0,591.0,-3502.0,-866.0,269.0
231,365.0,-1783.0,633.0,-3274.0,-987.0,169.0
232,476.0,-1782.0,662.0,-3067.0,-990.0,74.0
233,528.0,-1848.0,703.0,-2885.0,-889.0,-2.0
234,562.0,-1868.0,753.0,-2618.0,-730.0,-103.0
235,601.0,-1815.0,754.0,-2289.0,-528.0,-236.0
236,443.0,-1720.0,787.0,-1980.0,-187.0,-387.0
237,-921.0,-1138.0,1387.0,-688.0,567.0,-5.0
238,-733.0,-1211.0,1323.0,-322.0,89.0,248.0
239,-542.0,-1138.0,1221.0,161.0,-224.0,330.0
240,-390.0,-966.0,1111.0,577.0,-416.0,287.0
241,-261.0,-778.0,993.0,789.0,-575.0,192.0
242,-220.0,-884.0,873.0,703.0,-647.0,99.0
243,-203.0,-1767.0,847.0,669.0,-735.0,113.0
244,-25.0,-654.0,422.0,2027.0,-734.0,259.0
245,-168.0,-291.0,514.0,1908.0,-498.0,119.0
246,48.0,-913.0,250.0,609.0,327.0,-156.0
247,86.0,-944.0,206.0,255.0,104.0,15.0
248,49.0,-945.0,233.0,43.0,64.0,-10.0
249,64.0,-967.0,222.0,11.0,58.0,-26.0
250,96.0,-962.0,221.0,-2.0,57.0,-29.0
251,100.0,-958.0,223.0,-11.0,88.0,-20.0
252,89.0,-954.0,231.0,-23.0,130.0,-16.0
253,54.0,-953.0,237.0,-31.0,170.0,-15.0
254,92.0,-963.0,228.0,-42.0,173.0,-29.0
255,116.0,-963.0,233.0,-36.0,200.0,-20.0
256,110.0,-975.0,210.0,-33.0,238.0,9.0
257,98.0,-973.0,207.0,-2.0,255.0,33.0
258,57.0,-991.0,208.0,33.0,263.0,50.0
259,-3.0,-1013.0,201.0,58.0,255.0,51.0
260,33.0,-1020.0,202.0,89.0,193.0,27.0
261,86.0,-990.0,225.0,272.0,246.0,127.0
262,34.0,-1029.0,226.0,278.0,288.0,138.0
263,49.0,-1070.0,216.0,293.0,273.0,125.0
264,61.0,-1055.0,229.0,341.0,261.0,121.0
265,23.0,-1053.0,236.0,364.0,281.0,123.0
266,52.0,-1049.0,252.0,379.0,264.0,108.0
267,86.0,-1069.0,247.0,388.0,254.0,107.0
268,70.0,-1079.0,250.0,402.0,288.0,123.0
269,83.0,-1086.0,273.0,420.0,292.0,134.0
270,-19.0,-1018.0,308.0,891.0,52.0,20.0
271,197.0,-1959.0,-154.0,3790.0,1043.0,-830.0
272,266.0,-1690.0,-401.0,4164.0,1089.0,-590.0
273,58.0,-1121.0,-243.0,4517.0,1293.0,-390.0
274,-93.0,-856.0,199.0,4233.0,1025.0,-380.0
275,-52.0,-837.0,281.0,3868.0,623.0,-355.0
276,135.0,-540.0,292.0,3855.0,379.0,-352.0
277,288.0,-191.0,161.0,3658.0,411.0,-317.0
278,94.0,10.0,88.0,3075.0,710.0,-281.0
279,177.0,65.0,-258.0,2292.0,608.0,-212.0
280,199.0,369.0,-741.0,1538.0,736.0,-156.0
281,-362.0,670.0,-574.0,580.0,1170.0,31.0
282,463.0,-930.0,-132.0,-3798.0,114.0,264.0
283,195.0,-929.0,-5.0,-3750.0,480.0,209.0
284,65.0,-983.0,35.0,-3835.0,520.0,167.0
285,13.0,-1096.0,79.0,-3946.0,420.0,190.0
286,2.0,-1243.0,121.0,-4020.0,269.0,214.0
287,-67.0,-1376.0,179.0,-4013.0,117.0,189.0
288,-75.0,-1454.0,217.0,-3947.0,-115.0,117.0
289,-55.0,-1493.0,253.0,-3866.0,-364.0,37.0
290,19.0,-1547.0,283.0,-3807.0,-605.0,-31.0
291,112.0,-1643.0,306.0,-3744.0,-793.0,-88.0
292,223.0,-1661.0,320.0,-3606.0,-900.0,-128.0
293,550.0,-1316.0,1000.0,-3005.0,134.0,-187.0
294,-88.0,-1044.0,1212.0,469.0,-102.0,-40.0
295,-59.0,-1001.0,613.0,891.0,-396.0,-159.0
296,-124.0,-1410.0,659.0,874.0,-518.0,-29.0
297,-80.0,-1806.0,253.0,1446.0,-750.0,233.0
298,159.0,-239.0,349.0,3412.0,-775.0,362.0
299,-77.0,-1000.0,170.0,2059.0,-651.0,329.0
300,177.0,-1510.0,-444.0,1478.0,-803.0,187.0
301,27.0,-1802.0,-834.0,1727.0,-563.0,78.0
302,81.0,-973.0,206.0,448.0,-36.0,35.0
303,84.0,-988.0,198.0,413.0,-7.0,54.0
304,77.0,-972.0,221.0,388.0,17.0,77.0
305,52.0,-950.0,236.0,347.0,56.0,93.0
306,7.0,-962.0,227.0,293.0,98.0,81.0
307,0.0,-960.0,230.0,258.0,96.0,43.0
308,36.0,-943.0,231.0,225.0,72.0,7.0
309,36.0,-935.0,230.0,194.0,77.0,-1.0
310,47.0,-952.0,234.0,159.0,83.0,-5.0
311,63.0,-968.0,225.0,137.0,76.0,-2.0
312,43.0,-979.0,218.0,128.0,97.0,5.0
313,-19.0,-951.0,255.0,75.0,156.0,102.0
314,16.0,-980.0,248.0,61.0,128.0,77.0
315,33.0,-1006.0,240.0,57.0,128.0,69.0
316,59.0,-1021.0,230.0,64.0,141.0,74.0
317,79.0,-1014.0,230.0,90.0,155.0,96.0
318,68.0,-995.0,235.0,119.0,186.0,127.0
319,22.0,-985.0,246.0,139.0,223.0,148.0
320,-16.0,-998.0,252.0,147.0,239.0,144.0
321,0.0,-1011.0,251.0,161.0,222.0,126.0
322,5.0,-1035.0,246.0,182.0,223.0,114.0
323,1.0,-1027.0,243.0,218.0,233.0,108.0
324,-59.0,-1183.0,374.0,1100.0,-78.0,70.0
325,-19.0,-1250.0,382.0,1153.0,-83.0,68.0
326,-16.0,-1314.0,392.0,1228.0,-62.0,67.0
327,-26.0,-1356.0,378.0,1333.0,-45.0,65.0
328,-83.0,-1382.0,386.0,1450.0,-34.0,62.0
329,-132.0,-1398.0,400.0,1572.0,-64.0,69.0
330,-184.0,-1463.0,395.0,1677.0,-122.0,58.0
331,-118.0,-1484.0,405.0,1804.0,-227.0,56.0
332,-6.0,-1510.0,387.0,1922.0,-296.0,40.0
333,225.0,-585.0,383.0,3452.0,1125.0,-452.0
334,-227.0,-894.0,-4.0,-3463.0,299.0,-397.0
335,-86.0,-1803.0,593.0,-2932.0,-16.0,-831.0
336,-273.0,-1786.0,689.0,-2704.0,-2.0,-850.0
337,-335.0,-1764.0,740.0,-2499.0,-148.0,-856.0
338,-411.0,-1630.0,825.0,-2293.0,-262.0,-856.0
339,-381.0,-1429.0,859.0,-2213.0,-424.0,-789.0
340,-275.0,-1368.0,834.0,-2363.0,-543.0,-617.0
341,-77.0,-1389.0,809.0,-2532.0,-651.0,-411.0
342,100.0,-1449.0,813.0,-2630.0,-699.0,-334.0
343,240.0,-1526.0,800.0,-2628.0,-682.0,-383.0
344,-527.0,-1371.0,431.0,1606.0,-248.0,623.0
345,-183.0,-602.0,207.0,2295.0,-736.0,1007.0
346,-294.0,-1023.0,115.0,1607.0,-745.0,826.0
347,-234.0,-1319.0,-276.0,1363.0,-856.0,563.0
