sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ,Speed
92,-132.0,-946.0,-126.0,-493.0,-36.0,-339.0,0.0
93,-116.0,-973.0,-90.0,-535.0,-67.0,-354.0,0.0
94,-73.0,-1041.0,-56.0,-568.0,-99.0,-292.0,0.0
95,-127.0,-907.0,-130.0,-885.0,61.0,-152.0,0.0
96,-80.0,-927.0,-95.0,-879.0,20.0,-126.0,0.0
97,-39.0,-901.0,-53.0,-856.0,6.0,-158.0,0.0
98,-24.0,-825.0,0.0,-849.0,20.0,-207.0,0.0
99,-32.0,-737.0,42.0,-891.0,56.0,-223.0,0.0
100,-46.0,-695.0,78.0,-986.0,103.0,-174.0,0.0
101,-53.0,-775.0,105.0,-1101.0,157.0,-75.0,0.0
102,-32.0,-954.0,130.0,-1151.0,216.0,27.0,0.0
103,-9.0,-1053.0,186.0,-1080.0,285.0,76.0,0.0
104,-10.0,-1065.0,240.0,-933.0,357.0,67.0,0.0
105,-35.0,-1060.0,281.0,-768.0,421.0,53.0,0.0
106,-121.0,-997.0,321.0,-471.0,487.0,77.0,0.0
107,129.0,-972.0,-175.0,1777.0,-321.0,51.0,0.0
108,-108.0,-981.0,-118.0,1738.0,-5.0,131.0,0.0
109,-176.0,-996.0,-92.0,1682.0,131.0,49.0,0.0
110,-142.0,-999.0,-84.0,1625.0,128.0,-57.0,0.0
111,-103.0,-952.0,-16.0,1564.0,62.0,-87.0,0.0
112,-69.0,-931.0,6.0,1458.0,-19.0,-38.0,0.0
113,-68.0,-907.0,27.0,1334.0,-93.0,41.0,0.0
114,-71.0,-924.0,19.0,1214.0,-139.0,113.0,0.0
115,-83.0,-946.0,12.0,1115.0,-151.0,169.0,0.0
116,-113.0,-925.0,44.0,1031.0,-149.0,190.0,0.0
117,-116.0,-927.0,29.0,936.0,-159.0,190.0,0.0
118,-11.0,-713.0,186.0,783.0,-161.0,177.0,0.0
119,-129.0,-975.0,59.0,62.0,-19.0,-21.0,0.0
120,-126.0,-979.0,57.0,64.0,-21.0,-24.0,0.0
121,-125.0,-978.0,57.0,67.0,-21.0,-25.0,0.0
122,-123.0,-977.0,59.0,69.0,-21.0,-26.0,0.0
123,-125.0,-974.0,59.0,72.0,-21.0,-23.0,0.0
124,-126.0,-973.0,61.0,74.0,-23.0,-19.0,0.0
125,-125.0,-981.0,57.0,77.0,-24.0,-18.0,0.0
126,-123.0,-976.0,58.0,86.0,-21.0,-18.0,0.0
127,-126.0,-971.0,64.0,92.0,-20.0,-17.0,0.0
128,-125.0,-973.0,62.0,94.0,-20.0,-17.0,0.0
129,-121.0,-973.0,64.0,96.0,-20.0,-15.0,0.0
130,-122.0,-976.0,65.0,102.0,-18.0,-2.0,0.0
131,-88.0,-1018.0,69.0,159.0,18.0,-4.0,0.0
132,-83.0,-1052.0,66.0,190.0,28.0,18.0,0.0
133,-93.0,-1063.0,64.0,233.0,39.0,26.0,0.0
134,-142.0,-1027.0,81.0,273.0,51.0,20.0,0.0
135,-144.0,-1062.0,67.0,300.0,42.0,29.0,0.0
136,-140.0,-1028.0,85.0,338.0,32.0,37.0,0.0
137,-137.0,-1027.0,94.0,354.0,27.0,37.0,0.0
138,-126.0,-1082.0,81.0,363.0,18.0,77.0,0.0
139,-104.0,-1111.0,73.0,389.0,10.0,139.0,0.0
140,-164.0,-1125.0,80.0,436.0,11.0,158.0,0.0
141,-174.0,-1118.0,76.0,490.0,-5.0,162.0,0.0
142,-121.0,-1254.0,72.0,626.0,-27.0,131.0,0.0
143,4.0,-1735.0,-18.0,2531.0,-139.0,-392.0,0.0
144,-102.0,-1784.0,-21.0,2772.0,-70.0,-424.0,0.0
145,-60.0,-1771.0,-66.0,3026.0,-58.0,-425.0,0.0
146,-60.0,-1831.0,-79.0,3277.0,-21.0,-481.0,0.0
147,8.0,-1719.0,-64.0,3558.0,20.0,-521.0,0.0
148,-109.0,-1838.0,-43.0,3787.0,72.0,-464.0,0.0
149,113.0,-1874.0,-79.0,4016.0,72.0,-568.0,0.0
150,-207.0,-1752.0,-98.0,4170.0,225.0,-722.0,0.0
151,-338.0,-1634.0,-72.0,4247.0,183.0,-494.0,0.0
152,957.0,1645.0,-829.0,2588.0,828.0,-310.0,0.0
153,12.0,-419.0,-613.0,-3142.0,-540.0,-166.0,0.0
154,119.0,-540.0,-548.0,-3356.0,-604.0,-329.0,0.0
155,222.0,-723.0,-496.0,-3524.0,-592.0,-373.0,0.0
156,333.0,-877.0,-436.0,-3625.0,-499.0,-375.0,0.0
157,441.0,-1040.0,-332.0,-3681.0,-318.0,-431.0,0.0
158,417.0,-1182.0,-187.0,-3694.0,-48.0,-562.0,0.0
159,253.0,-1339.0,-71.0,-3673.0,235.0,-674.0,0.0
160,69.0,-1458.0,28.0,-3625.0,445.0,-691.0,0.0
161,-53.0,-1585.0,84.0,-3565.0,570.0,-681.0,0.0
162,-98.0,-1715.0,110.0,-3478.0,629.0,-703.0,0.0
163,-93.0,-1712.0,166.0,-3364.0,657.0,-735.0,0.0
164,-132.0,-1708.0,341.0,-3315.0,644.0,-715.0,0.0
165,737.0,-1601.0,682.0,-2518.0,-1373.0,-704.0,0.0
166,764.0,-1586.0,787.0,-2279.0,-929.0,-834.0,0.0
167,618.0,-1554.0,887.0,-2013.0,-454.0,-942.0,0.0
