sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,-124.0,-972.0,142.0,27.0,-37.0,-8.0
1,-126.0,-973.0,142.0,27.0,-36.0,-9.0
2,-124.0,-975.0,140.0,27.0,-38.0,-9.0
3,-124.0,-973.0,141.0,28.0,-37.0,-9.0
4,-127.0,-970.0,143.0,28.0,-37.0,-8.0
5,-125.0,-968.0,143.0,27.0,-36.0,-9.0
6,-124.0,-977.0,140.0,21.0,-33.0,-29.0
7,-119.0,-979.0,138.0,21.0,-35.0,-30.0
8,-113.0,-979.0,137.0,22.0,-35.0,-28.0
9,-117.0,-980.0,137.0,24.0,-34.0,-21.0
10,-121.0,-978.0,138.0,26.0,-33.0,-17.0
11,-120.0,-981.0,136.0,26.0,-34.0,-16.0
12,-118.0,-982.0,138.0,26.0,-34.0,-14.0
13,-115.0,-985.0,135.0,27.0,-34.0,-9.0
14,-114.0,-979.0,137.0,32.0,-34.0,-3.0
15,-119.0,-973.0,138.0,34.0,-32.0,2.0
16,-122.0,-971.0,140.0,34.0,-33.0,4.0
17,-123.0,-969.0,142.0,28.0,-34.0,3.0
18,-118.0,-1016.0,126.0,-12.0,-61.0,-23.0
19,-127.0,-1009.0,131.0,-14.0,-63.0,-29.0
20,-122.0,-1066.0,108.0,-19.0,-67.0,-29.0
21,-134.0,-1047.0,118.0,14.0,-70.0,-20.0
22,-141.0,-1098.0,108.0,35.0,-80.0,-17.0
23,-33.0,-1229.0,70.0,61.0,-85.0,-35.0
24,30.0,-1708.0,-49.0,138.0,-62.0,63.0
25,-248.0,-1833.0,-57.0,566.0,-77.0,413.0
26,-270.0,-1844.0,54.0,980.0,-103.0,346.0
27,-256.0,-1844.0,-50.0,1214.0,-178.0,494.0
28,-86.0,-1350.0,-89.0,1479.0,-246.0,542.0
29,3.0,-291.0,-959.0,1386.0,-397.0,587.0
30,-317.0,-898.0,-508.0,-1704.0,-646.0,17.0
31,-252.0,-1050.0,-436.0,-1825.0,-737.0,85.0
32,-207.0,-1155.0,-348.0,-1874.0,-807.0,92.0
33,-178.0,-1221.0,-254.0,-1886.0,-869.0,60.0
34,-160.0,-1282.0,-166.0,-1880.0,-931.0,32.0
35,-136.0,-1304.0,-86.0,-1856.0,-997.0,8.0
36,-90.0,-1385.0,-25.0,-1827.0,-1057.0,-38.0
37,-66.0,-1481.0,42.0,-1751.0,-1091.0,-106.0
38,-5.0,-1512.0,84.0,-1597.0,-1109.0,-170.0
39,125.0,-1304.0,132.0,-1423.0,-1090.0,-255.0
