sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,61.0,-986.0,105.0,44.0,-37.0,-4.0
1,62.0,-990.0,101.0,46.0,-37.0,-6.0
2,61.0,-988.0,103.0,49.0,-38.0,-10.0
3,58.0,-994.0,103.0,50.0,-38.0,-14.0
4,60.0,-996.0,102.0,54.0,-39.0,-21.0
5,71.0,-989.0,104.0,59.0,-39.0,-19.0
6,57.0,-1002.0,109.0,91.0,-44.0,-61.0
7,82.0,-990.0,124.0,103.0,-40.0,-80.0
8,77.0,-1001.0,122.0,101.0,-38.0,-78.0
9,67.0,-1018.0,119.0,105.0,-37.0,-82.0
10,65.0,-1017.0,120.0,115.0,-39.0,-96.0
11,66.0,-1019.0,124.0,124.0,-40.0,-111.0
12,76.0,-1015.0,127.0,132.0,-42.0,-128.0
13,78.0,-1024.0,129.0,136.0,-42.0,-139.0
14,79.0,-1010.0,135.0,139.0,-44.0,-152.0
15,86.0,-996.0,138.0,133.0,-45.0,-164.0
16,97.0,-1011.0,137.0,119.0,-44.0,-168.0
17,106.0,-1025.0,132.0,106.0,-39.0,-169.0
18,71.0,-1248.0,83.0,148.0,-31.0,-194.0
19,-393.0,196.0,-885.0,1932.0,-168.0,-1170.0
20,186.0,-839.0,-840.0,-2181.0,-589.0,1151.0
21,213.0,-970.0,-741.0,-2351.0,-505.0,1185.0
22,213.0,-1080.0,-626.0,-2480.0,-433.0,1178.0
23,190.0,-1199.0,-512.0,-2579.0,-384.0,1156.0
24,192.0,-1306.0,-415.0,-2643.0,-361.0,1150.0
25,198.0,-1387.0,-322.0,-2684.0,-348.0,1147.0
26,201.0,-1464.0,-237.0,-2716.0,-336.0,1114.0
27,196.0,-1500.0,-167.0,-2734.0,-326.0,1061.0
28,203.0,-1548.0,51.0,-2757.0,-77.0,974.0
29,-178.0,-1276.0,737.0,-1229.0,299.0,540.0
30,-162.0,-1260.0,775.0,-1008.0,136.0,503.0
31,-98.0,-1220.0,790.0,-768.0,-35.0,463.0
32,-4.0,-1175.0,783.0,-525.0,-185.0,429.0
33,104.0,-1126.0,769.0,-294.0,-298.0,391.0
34,209.0,-1066.0,745.0,-83.0,-361.0,319.0
35,267.0,-1037.0,710.0,100.0,-369.0,209.0
36,289.0,-1033.0,670.0,272.0,-344.0,107.0
37,305.0,-1017.0,625.0,445.0,-301.0,56.0
38,351.0,-992.0,574.0,607.0,-245.0,41.0
39,438.0,-999.0,516.0,739.0,-161.0,4.0
40,512.0,-1024.0,462.0,855.0,-29.0,-78.0
41,519.0,-1037.0,422.0,972.0,152.0,-180.0
42,468.0,-1054.0,390.0,1092.0,351.0,-255.0
43,393.0,-1035.0,354.0,1221.0,538.0,-286.0
44,232.0,-1034.0,296.0,1401.0,828.0,-277.0
45,-4.0,-1110.0,-7.0,228.0,-85.0,-136.0
46,35.0,-868.0,160.0,302.0,-100.0,-184.0
47,76.0,-915.0,115.0,238.0,-90.0,-206.0
48,119.0,-956.0,102.0,180.0,-84.0,-181.0
49,111.0,-963.0,106.0,145.0,-70.0,-110.0
50,100.0,-975.0,93.0,106.0,-61.0,-42.0
51,79.0,-977.0,91.0,85.0,-55.0,12.0
52,80.0,-973.0,91.0,73.0,-54.0,46.0
53,91.0,-975.0,92.0,57.0,-54.0,84.0
54,58.0,-1006.0,75.0,41.0,-47.0,128.0
55,38.0,-992.0,89.0,42.0,-45.0,138.0
56,23.0,-998.0,88.0,22.0,-42.0,123.0
57,51.0,-989.0,85.0,76.0,-43.0,-15.0
58,54.0,-991.0,84.0,74.0,-42.0,-10.0
59,41.0,-1007.0,76.0,75.0,-40.0,-4.0
60,37.0,-1013.0,68.0,91.0,-41.0,-10.0
61,46.0,-1010.0,72.0,116.0,-43.0,-24.0
62,48.0,-1012.0,71.0,139.0,-43.0,-29.0
63,33.0,-1029.0,69.0,164.0,-42.0,-33.0
64,12.0,-1024.0,82.0,187.0,-37.0,-56.0
65,26.0,-1044.0,74.0,198.0,-35.0,-92.0
66,27.0,-1037.0,91.0,261.0,-11.0,-205.0
67,157.0,-1777.0,-24.0,1560.0,34.0,-605.0
68,201.0,-1941.0,-69.0,1798.0,7.0,-334.0
69,251.0,-1959.0,-55.0,2097.0,18.0,-184.0
70,210.0,-1959.0,-79.0,2407.0,58.0,-113.0
71,298.0,-1959.0,-182.0,2764.0,3.0,134.0
72,221.0,-1959.0,-175.0,3116.0,-10.0,321.0
73,15.0,-1959.0,-246.0,3508.0,-18.0,473.0
74,-300.0,-1959.0,-240.0,3877.0,-77.0,538.0
75,-107.0,-1959.0,-346.0,4123.0,-282.0,457.0
76,-395.0,-1902.0,-363.0,4258.0,-306.0,74.0
77,-495.0,-1723.0,-641.0,4278.0,-465.0,-71.0
78,-1489.0,1574.0,-1156.0,3727.0,-961.0,-116.0
79,-53.0,-303.0,-779.0,-2260.0,350.0,388.0
80,-116.0,-396.0,-690.0,-2494.0,388.0,454.0
81,-139.0,-498.0,-607.0,-2724.0,382.0,539.0
82,-133.0,-636.0,-544.0,-2960.0,355.0,587.0
83,-167.0,-773.0,-500.0,-3178.0,328.0,603.0
84,-262.0,-924.0,-457.0,-3371.0,281.0,623.0
